role,target,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog
MGR:[other],GenRA Pos Act=1 (0.5) AUC=0 p=0.475,no_data,no_data,no_data,no_data,17.2mg/kg/day,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:aborted,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:adrenal gland,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:all gross anomalies,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:birth index,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:body weight,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,17.2mg/kg/day,85.7mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:brain,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:cervix,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:clinical signs,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:coagulating gland,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:corpora lutea,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:dead fetuses,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:dystocia,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:epididymis,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:estrous cycle,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:fertility,GenRA Pos Act=1 (0.5) AUC=0 p=0.48,no_data,no_data,no_data,no_data,22.5mg/kg/day,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:food consumption,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,17.2mg/kg/day,22.4mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:gestation index,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:gestational length,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:implantations,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:kidney,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:lactation index,GenRA Pos Act=1 (0.5) AUC=0 p=0.545,no_data,no_data,no_data,no_data,17.2mg/kg/day,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:litter size,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:litter viability other,GenRA Pos Act=1 (0.5) AUC=0 p=0.475,no_data,no_data,no_data,no_data,17.2mg/kg/day,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:live fetuses,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:liver,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,85.7mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:mating,GenRA Pos Act=1 (0.5) AUC=0 p=0.475,no_data,no_data,no_data,no_data,17.2mg/kg/day,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:mean corpuscular (cell) volume (mcv),GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,22.4mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:mean corpuscular hemoglobin (mch),GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,104.9mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:mortality,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:nipple development,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:offspring survival early other,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:ovary,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:oviduct,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:pituitary gland,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:postimplantation loss,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:precoital interval,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:pregnancy,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:pregnancy index,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:preimplantation loss,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:premature delivery,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:preputial separation,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:prostate,GenRA Pos Act=1 (0.5) AUC=0 p=0.495,no_data,no_data,no_data,no_data,61.4mg/kg/day,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:reproductive performance other,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:resorptions,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:seminal vesicle,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:sex ratio,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:sperm measure,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:spleen,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:testes,GenRA Pos Act=1 (0.5) AUC=0 p=0.5,no_data,no_data,no_data,no_data,61.4mg/kg/day,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:thymus,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:uterus,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:vagina,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:vaginal opening,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:viability index,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
SAC:adrenal gland,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data
SAC:albumin,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
SAC:blood clotting,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
SAC:body weight,GenRA Pos Act=1 (0.713) AUC=0 p=0.63,no_data,881mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,25mg/kg/day,no_data,no_data,no_data
SAC:bone,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
SAC:bone marrow,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data
SAC:brain,GenRA Neg Act=0 (0.443) AUC=0 p=0.67,no_data,881mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data
SAC:cholesterol,GenRA Pos Act=1 (0.621) AUC=0 p=0.475,no_data,881mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
SAC:clinical signs,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,1149mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,452mg/kg/day,25mg/kg/day,no_data,no_data,no_data
SAC:clitoral gland,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
SAC:creatinine,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
SAC:ear,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,no_data
SAC:epididymis,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data
SAC:erythrocyte (rbc) count differential,GenRA Pos Act=1 (0.621) AUC=0 p=0.505,no_data,1149mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
SAC:esophagus,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data
SAC:eye,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data
SAC:food consumption,GenRA Pos Act=1 (0.713) AUC=0 p=0.69,no_data,881mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,25mg/kg/day,no_data,no_data,no_data
SAC:full gross necropsy,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data
SAC:gallbladder,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
SAC:general,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
SAC:globulins,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,1149mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
SAC:glucose,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
SAC:harderian gland,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
SAC:heart,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data
SAC:hematocrit (hct),GenRA Pos Act=1 (0.621) AUC=0 p=0.48,no_data,1149mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
SAC:hemoglobin (hgb),GenRA Pos Act=1 (0.621) AUC=0 p=0.5,no_data,1149mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
SAC:intestine large,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data
SAC:intestine small,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data
SAC:kidney,GenRA Neg Act=0 (0.443) AUC=0 p=0.755,no_data,881mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data
SAC:larynx,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data
SAC:leukocyte (wbc) count differential,GenRA Pos Act=1 (0.621) AUC=0 p=0.535,no_data,881mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
SAC:liver,GenRA Neg Act=0 (0.443) AUC=0 p=0.595,no_data,881mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data
SAC:lung,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data
SAC:lymph node,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data
SAC:lymphocyte,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,881mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
SAC:mammary gland,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data
SAC:mean corpuscular (cell) volume (mcv),GenRA Pos Act=1 (1) AUC=0 p=1,no_data,881mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
SAC:mean corpuscular hemoglobin (mch),GenRA Pos Act=1 (1) AUC=0 p=1,no_data,881mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
SAC:mortality,GenRA Neg Act=0 (0.271) AUC=0 p=0.685,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,100mg/kg/day,no_data,no_data,no_data
SAC:nerve,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data
SAC:neutrophils,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,881mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
SAC:nose,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data
SAC:occult blood,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,no_data
SAC:ovary,GenRA Neg Act=0 (0.443) AUC=0 p=0.66,no_data,1285mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data
SAC:pancreas,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data
SAC:parathyroid gland,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data
SAC:ph,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,no_data
SAC:pharynx,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,no_data
SAC:phosphorus,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,1149mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
SAC:pituitary gland,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data
SAC:platelet,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
SAC:potassium,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
SAC:preputial gland,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
SAC:prostate,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data
SAC:protein,GenRA Pos Act=1 (0.621) AUC=0 p=0.495,no_data,1149mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
SAC:salivary glands,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data
SAC:seminal vesicle,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data
SAC:skeletal muscle,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
SAC:skin,GenRA Pos Act=1 (0.557) AUC=0 p=0.675,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,452mg/kg/day,25mg/kg/day,no_data,no_data,no_data
SAC:sodium,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
SAC:spinal cord,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data
SAC:spleen,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data
SAC:stomach,GenRA Neg Act=0 (0.287) AUC=0 p=0.65,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,500mg/kg/day,no_effect,no_data,no_data,no_data
SAC:testes,GenRA Neg Act=0 (0.443) AUC=0 p=0.655,no_data,881mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data
SAC:thymus,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data
SAC:thyroid gland,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data
SAC:tongue,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
SAC:trachea,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data
SAC:triglycerides,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,881mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
SAC:urea nitrogen,GenRA Pos Act=1 (0.621) AUC=0 p=0.57,no_data,881mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
SAC:urinary bladder,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data
SAC:uterus,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data
SAC:vagina,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
SAC:volume,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,no_data
SUB:adrenal gland,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect
SUB:alanine aminotransferase (alt/sgpt),GenRA Neg Act=0 (0.446) AUC=0 p=0.86,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,5mg/kg/day,no_data,no_data,no_data,no_effect,24.4ppm,no_data,no_data
SUB:albumin,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
SUB:albumin-globulin ratio,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,707mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
SUB:alkaline phosphatase (alp/alk),GenRA Pos Act=1 (0.5) AUC=0 p=0.855,no_effect,no_data,no_data,250mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,24.4ppm,no_data,no_data
SUB:appearance and color,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
SUB:bile acids,GenRA Neg Act=0 (0.299) AUC=0 p=0.59,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,5mg/kg/day,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
SUB:blood,GenRA Pos Act=1 (1) AUC=0 p=1,250mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
SUB:blood clotting,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,250mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
SUB:body weight,GenRA Neg Act=0 (0.498) AUC=0.611111111111111 p=0.29,200mg/kg/day,406mg/kg/day,no_effect,no_effect,no_effect,28mg/kg/day,no_data,9mg/kg/day,no_effect,no_effect,no_data,5mg/kg/day,0.03ppm,no_data,no_effect
